"samp_session","id","treatment","prior_temp_24","prior_temp_26","prior_temp_28","prior_temp_30","prior_temp_32","prior_temp_34","lnmass_24","lnmass_26","lnmass_28","lnmass_30","lnmass_32","lnmass_34","z_lnmass_24","z_lnmass_26","z_lnmass_28","z_lnmass_30","z_lnmass_32","z_lnmass_34","lnmr_24","lnmr_26","lnmr_28","lnmr_30","lnmr_32","lnmr_34"
9,"ld0463",23,NA,NA,NA,NA,NA,NA,-1.1551826401565,-1.17765549600856,NA,NA,-1.1551826401565,-1.17765549600856,1.38679426219857,1.27827379280201,NA,NA,1.38679426219857,1.27827379280201,-6.38460612238828,-6.76916337882811,NA,NA,-5.64455818712429,-6.46542619512996
10,"ld0463",23,NA,NA,NA,NA,NA,NA,-1.12085789761543,NA,-1.08175517160169,-1.08175517160169,NA,-1.12085789761543,1.552546990601,NA,1.7413723988905,1.7413723988905,NA,1.552546990601,-6.52111553268455,NA,-5.96785665209274,-5.65994594585254,NA,-5.67180198084116
10,"ld0463",23,NA,NA,NA,NA,NA,NA,-1.12085789761543,NA,-1.08175517160169,-1.08175517160169,NA,-1.12085789761543,1.552546990601,NA,1.7413723988905,1.7413723988905,NA,1.552546990601,-6.36258634914605,NA,-6.41755501517773,-5.49824172612437,NA,-5.79968028794871
1,"ld0466",29,24.8,34,NA,NA,24,23.2,-2.0874737133771,-1.51412773262978,NA,NA,-2.0874737133771,-1.51412773262978,-3.11519985666851,-0.346536391422849,NA,NA,-3.11519985666851,-0.346536391422849,-6.45281748993958,-6.1062542630242,NA,NA,-6.03401578701827,-5.75761593155289
1,"ld0466",29,24.8,34,NA,NA,24,23.2,-2.0874737133771,-1.51412773262978,NA,NA,-2.0874737133771,-1.51412773262978,-3.11519985666851,-0.346536391422849,NA,NA,-3.11519985666851,-0.346536391422849,-6.47391531890421,-5.93104096729479,NA,NA,-6.06456806152681,-5.7350924568858
2,"ld0466",29,23.7,32,NA,NA,22.6,24,-1.98777435315401,-1.58963528513792,NA,NA,-1.58963528513792,-1.98777435315401,-2.63375586747679,-0.711159165453511,NA,NA,-0.711159165453511,-2.63375586747679,-6.88533962645155,-6.52033475700696,NA,NA,-6.79584592604092,-6.55468114682489
2,"ld0466",29,23.7,32,NA,NA,22.6,24,-1.98777435315401,-1.58963528513792,NA,NA,-1.58963528513792,-1.98777435315401,-2.63375586747679,-0.711159165453511,NA,NA,-0.711159165453511,-2.63375586747679,-6.83437318285953,-6.38512127819945,NA,NA,-6.38316056995927,-6.19036933929581
3,"ld0466",29,NA,30,17,17.9,NA,28,NA,-1.55116900431012,-1.59948758158093,-1.55116900431012,NA,-1.59948758158093,NA,-0.525407124019504,-0.75873548782518,-0.525407124019504,NA,-0.75873548782518,NA,-6.5158505827742,-7.12117830704578,-6.19596062783795,NA,-5.92214558828531
3,"ld0466",29,NA,30,17,17.9,NA,28,NA,-1.55116900431012,-1.59948758158093,-1.55116900431012,NA,-1.59948758158093,NA,-0.525407124019504,-0.75873548782518,-0.525407124019504,NA,-0.75873548782518,NA,-6.49030782821377,-6.62189444371996,-6.08505325121996,NA,-5.91310066410346
4,"ld0466",29,NA,34,17,NA,28,18.3,NA,-1.46101790731583,-1.43129172705063,NA,-1.43129172705063,-1.46101790731583,NA,-0.0900712936809144,0.0534751721969694,NA,0.0534751721969694,-0.0900712936809144,NA,-6.79197236120673,-6.68663158659328,NA,-5.92582085077066,-5.93811267358967
4,"ld0466",29,NA,34,17,NA,28,18.3,NA,-1.46101790731583,-1.43129172705063,NA,-1.43129172705063,-1.46101790731583,NA,-0.0900712936809144,0.0534751721969694,NA,0.0534751721969694,-0.0900712936809144,NA,-6.7817008108849,-6.82281902327592,NA,-6.12069796393505,-5.97550020566129
5,"ld0466",29,NA,34,17.5,28,NA,14.8,NA,-1.45243416362444,-1.41881755282545,-1.41881755282545,NA,-1.45243416362444,NA,-0.0486207588355985,0.113712431366967,0.113712431366967,NA,-0.0486207588355985,NA,-6.49845094697522,-6.41616352598829,-6.09895293581026,NA,-6.03630240238529
