"date","samp_session","id","series_temp","treatment","age","temp","z_age","z_lnmass","lnmr","temp_I2"
"2018-04-07",1,"ld0486","ld0486_1_26",29,100,26,-0.89878663963915,-0.525407124019504,-6.42841439026311,676
"2018-04-07",1,"ld0494","ld0494_1_26",23,92,26,-1.107867567732,-0.174055282860608,-5.91724185571955,676
"2018-04-07",1,"ld0497","ld0497_1_24",23,91,24,-1.13400268374361,-0.281131901847406,-6.68788724250991,576
"2018-04-07",1,"ld0497","ld0497_1_24",23,91,24,-1.13400268374361,-0.281131901847406,-7.07972984893677,576
"2018-04-07",1,"ld0497","ld0497_1_34",23,91,34,-1.13400268374361,-0.281131901847406,-6.03815797250863,1156
"2018-04-07",1,"ld0497","ld0497_1_34",23,91,34,-1.13400268374361,-0.281131901847406,-6.15434265184802,1156
"2018-04-07",1,"ld0503","ld0503_1_24",29,88,24,-1.21240803177843,-0.19528150455131,-6.18966616191892,576
"2018-04-07",1,"ld0503","ld0503_1_24",29,88,24,-1.21240803177843,-0.19528150455131,-6.32753595614204,576
"2018-04-07",1,"ld0503","ld0503_1_34",29,88,34,-1.21240803177843,-0.19528150455131,-5.67380073135373,1156
"2018-04-07",1,"ld0503","ld0503_1_34",29,88,34,-1.21240803177843,-0.19528150455131,-5.60037326279892,1156
"2018-04-07",1,"ld0507","ld0507_1_30",23,88,30,-1.21240803177843,-0.594229538234124,-5.96304201275333,900
"2018-04-07",1,"ld0507","ld0507_1_30",23,88,30,-1.21240803177843,-0.594229538234124,-6.12225599453714,900
"2018-04-07",1,"ld0507","ld0507_1_26",23,88,26,-1.21240803177843,-0.594229538234124,-6.56726916642596,676
"2018-04-07",1,"ld0507","ld0507_1_26",23,88,26,-1.21240803177843,-0.594229538234124,-6.56506409386764,676
"2018-04-07",1,"ld0512","ld0512_1_24",29,82,24,-1.36921872784807,-0.302835118872163,-6.59165631850522,576
"2018-04-07",1,"ld0512","ld0512_1_24",29,82,24,-1.36921872784807,-0.302835118872163,-6.51536661545498,576
"2018-04-07",1,"ld0512","ld0512_1_34",29,82,34,-1.36921872784807,-0.302835118872163,-6.04180664900012,1156
"2018-04-07",1,"ld0513","ld0513_1_24",23,81,24,-1.39535384385967,-0.0486207588355985,-6.18976649229259,576
"2018-04-07",1,"ld0513","ld0513_1_24",23,81,24,-1.39535384385967,-0.0486207588355985,-6.39973958041705,576
"2018-04-07",1,"ld0513","ld0513_1_34",23,81,34,-1.39535384385967,-0.0486207588355985,-5.69637391757946,1156
"2018-04-07",1,"ld0513","ld0513_1_34",23,81,34,-1.39535384385967,-0.0486207588355985,-6.06988742588103,1156
